Title,Keys,StartYYYY,StartMM,StartDD,StartHH,Startmm,EndYYYY,EndMM,EndDD,EndHH,Endmm,Emotion,Location,Items
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,4,6,21,48,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,4,6,21,48,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,4,6,21,48,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,2,11,20,P,Non-Profit Organization drink people,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,8,1,20,26,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,8,8,20,17,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_903695279653054
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_959522444070337
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_963083800380868
4067,#aiesecuq Non-Profit Organization_4067,2105,4,6,15,4,2105,8,8,21,30,P,Non-Profit Organization opportunity account,139429429412980_903695279653054
